Ngày,Mã hóa đơn,Mã khách hàng,Mã cửa hàng,Mã sản phẩm,Danh mục,Số lượng,Đơn giá,Giá vốn,Doanh thu,Tồn kho,Mã khuyến mãi,Loại khuyến mãi,Giảm giá,Ngày bắt đầu khuyến mãi,Ngày kết thúc khuyến mãi
2025-01-01 19:31:00,HD0000022,KH01443,CH01,SP053,Văn phòng phẩm,1,20000,13022,16061,283,,,,,
2025-01-01 19:31:00,HD0000022,KH01443,CH01,SP005,Đồ uống,4,25000,18576,80307,283,,,,,
2025-01-01 19:31:00,HD0000022,KH01443,CH01,SP013,Bánh kẹo,1,14500,10565,11644,491,,,,,
2025-01-01 13:25:00,HD0000023,KH01168,CH01,SP044,Đồ gia dụng,1,159000,121775,142968,332,,,,,
2025-01-01 08:06:00,HD0000024,KH01168,CH02,SP019,Bánh kẹo,1,34500,23560,31021,424,,,,,
2025-01-01 08:06:00,HD0000024,KH01168,CH02,SP044,Đồ gia dụng,1,159000,121775,142968,331,,,,,
2025-01-01 11:08:00,HD0000025,KH01168,CH02,SP007,Đồ uống,1,30000,23037,26975,350,,,,,
2025-01-01 11:08:00,HD0000025,KH01168,CH02,SP054,Mẹ & bé,1,173500,135435,156006,342,,,,,
2025-01-01 11:52:00,HD0000026,KH01608,CH01,SP002,Đồ uống,1,26500,22201,20336,241,,,,,
2025-01-01 15:48:00,HD0000027,KH01608,CH01,SP062,Chăm sóc cá nhân,1,67000,37895,51415,209,,,,,
2025-01-01 15:48:00,HD0000027,KH01608,CH01,SP064,Chăm sóc cá nhân,1,58000,30893,44508,430,,,,,
2025-01-01 15:00:00,HD0000028,KH02418,CH01,SP049,Văn phòng phẩm,1,31000,22009,24115,226,,,,,
2025-01-01 15:40:00,HD0000029,KH00345,CH02,SP039,Đồ gia dụng,2,68500,43064,108719,220,,,,,
2025-01-01 15:40:00,HD0000029,KH00345,CH02,SP043,Đồ gia dụng,1,102500,79037,81341,435,,,,,
2025-01-01 17:09:00,HD0000030,KH01608,CH02,SP024,Thực phẩm khô,1,47500,37727,36451,385,,,,,
2025-01-01 13:02:00,HD0000031,KH01168,CH01,SP061,Mẹ & bé,3,198000,126558,534106,402,,,,,
2025-01-01 13:02:00,HD0000031,KH01168,CH01,SP058,Mẹ & bé,1,123000,92733,110598,317,,,,,
2025-01-01 18:01:00,HD0000032,KHACH_LE,CH02,SP018,Bánh kẹo,1,10000,6820,10000,316,,,,,
2025-01-01 18:01:00,HD0000032,KHACH_LE,CH02,SP069,Chăm sóc cá nhân,1,17000,11459,17000,315,,,,,
2025-01-01 10:20:00,HD0000033,KH01443,CH01,SP035,Hóa mỹ phẩm,1,58000,32258,46578,266,,,,,
2025-01-01 10:20:00,HD0000033,KH01443,CH01,SP039,Đồ gia dụng,1,68500,43064,55010,219,,,,,
2025-01-01 10:20:00,HD0000033,KH01443,CH01,SP063,Chăm sóc cá nhân,1,76500,53635,61435,306,,,,,
2025-01-01 18:52:00,HD0000034,KH00900,CH02,SP052,Văn phòng phẩm,2,35000,25680,70821,308,,,,,
2025-01-01 18:52:00,HD0000034,KH00900,CH02,SP044,Đồ gia dụng,1,159000,121775,160866,330,,,,,
2025-01-01 19:18:00,HD0000035,KH01608,CH01,SP053,Văn phòng phẩm,1,20000,13022,15348,282,,,,,
2025-01-01 15:03:00,HD0000036,KH02374,CH01,SP030,Hóa mỹ phẩm,4,82500,59214,265580,403,,,,,
2025-01-01 11:28:00,HD0000037,KH01443,CH02,SP039,Đồ gia dụng,1,68500,43064,55010,218,,,,,
2025-01-01 11:28:00,HD0000037,KH01443,CH02,SP003,Đồ uống,1,28500,21313,22887,292,,,,,
2025-01-01 08:21:00,HD0000038,KH00900,CH01,SP052,Văn phòng phẩm,1,35000,25680,35411,307,,,,,
2025-01-01 18:32:00,HD0000039,KH01443,CH01,SP043,Đồ gia dụng,1,102500,79037,82314,434,,,,,
2025-01-01 18:32:00,HD0000039,KH01443,CH01,SP024,Thực phẩm khô,1,47500,37727,38146,384,,,,,
2025-01-01 17:23:00,HD0000040,KHACH_LE,CH01,SP025,Thực phẩm khô,1,79000,62562,79000,270,,,,,
2025-01-01 17:23:00,HD0000040,KHACH_LE,CH01,SP053,Văn phòng phẩm,1,20000,13022,20000,281,,,,,
2025-01-01 11:27:00,HD0000041,KH02428,CH01,SP060,Mẹ & bé,1,218000,139411,180831,404,,,,,
2025-01-01 16:20:00,HD0000042,KH00900,CH01,SP066,Chăm sóc cá nhân,1,44500,26705,45022,485,,,,,
2025-01-01 16:20:00,HD0000042,KH00900,CH01,SP063,Chăm sóc cá nhân,1,76500,53635,77398,305,,,,,
2025-01-01 08:34:00,HD0000043,KH00900,CH02,SP043,Đồ gia dụng,1,102500,79037,103703,433,,,,,
2025-01-01 08:34:00,HD0000043,KH00900,CH02,SP019,Bánh kẹo,1,34500,23560,34905,423,,,,,
2025-01-01 16:38:00,HD0000044,KH02428,CH01,SP056,Mẹ & bé,2,94000,61160,155946,256,,,,,
2025-01-01 12:58:00,HD0000045,KH02428,CH02,SP055,Mẹ & bé,1,66000,52356,54747,488,,,,,
2025-01-01 12:58:00,HD0000045,KH02428,CH02,SP021,Thực phẩm khô,4,65000,49625,215670,356,,,,,
2025-01-01 16:46:00,HD0000046,KH02428,CH02,SP045,Đồ gia dụng,1,157500,115074,130646,296,,,,,
2025-01-01 16:46:00,HD0000046,KH02428,CH02,SP005,Đồ uống,4,25000,18576,82950,279,,,,,
2025-01-01 16:46:00,HD0000046,KH02428,CH02,SP013,Bánh kẹo,1,14500,10565,12028,490,,,,,
2025-01-01 08:51:00,HD0000047,KH02374,CH02,SP045,Đồ gia dụng,1,157500,115074,126754,295,,,,,
2025-01-01 16:01:00,HD0000048,KH00345,CH01,SP034,Hóa mỹ phẩm,1,145000,82401,115068,157,,,,,
2025-01-01 16:01:00,HD0000048,KH00345,CH01,SP021,Thực phẩm khô,4,65000,49625,206329,352,,,,,
2025-01-01 18:50:00,HD0000049,KH01168,CH02,SP066,Chăm sóc cá nhân,1,44500,26705,40013,484,,,,,
2025-01-01 16:31:00,HD0000050,KH01608,CH01,SP005,Đồ uống,1,25000,18576,19185,278,,,,,
2025-01-01 18:50:00,HD0000051,KH02428,CH01,SP066,Chăm sóc cá nhân,3,44500,26705,110738,481,,,,,
2025-01-01 12:02:00,HD0000052,KH00345,CH01,SP066,Chăm sóc cá nhân,1,44500,26705,35314,480,,,,,
2025-01-01 12:02:00,HD0000052,KH00345,CH01,SP034,Hóa mỹ phẩm,2,145000,82401,230136,155,,,,,
2025-01-01 12:02:00,HD0000052,KH00345,CH01,SP039,Đồ gia dụng,1,68500,43064,54360,217,,,,,
2025-01-01 12:02:00,HD0000052,KH00345,CH01,SP046,Văn phòng phẩm,1,6000,3637,4761,380,,,,,
2025-01-01 11:04:00,HD0000053,KH02374,CH02,SP011,Bánh kẹo,1,36000,23575,28972,469,,,,,
2025-01-02 08:26:00,HD0000054,KH00051,CH01,SP052,Văn phòng phẩm,2,35000,25680,85648,305,,,,,
2025-01-02 08:26:00,HD0000054,KH00051,CH01,SP044,Đồ gia dụng,1,159000,121775,194544,329,,,,,
2025-01-02 11:44:00,HD0000055,KH01443,CH01,SP053,Văn phòng phẩm,1,20000,13022,16061,280,,,,,
2025-01-02 08:13:00,HD0000056,KH00051,CH01,SP053,Văn phòng phẩm,1,20000,13022,24471,279,,,,,
2025-01-02 08:53:00,HD0000057,KH02124,CH02,SP039,Đồ gia dụng,1,68500,43064,68521,216,,,,,
2025-01-02 18:13:00,HD0000058,KH02418,CH02,SP038,Đồ gia dụng,1,74500,55041,57954,189,,,,,
2025-01-02 18:13:00,HD0000058,KH02418,CH02,SP036,Hóa mỹ phẩm,2,114500,75585,178139,311,,,,,
2025-01-02 10:34:00,HD0000059,KH00051,CH01,SP033,Hóa mỹ phẩm,1,70000,51273,85648,389,,,,,
2025-01-02 10:34:00,HD0000059,KH00051,CH01,SP014,Bánh kẹo,1,33000,24236,40377,160,,,,,
2025-01-02 20:17:00,HD0000060,KH02418,CH02,SP049,Văn phòng phẩm,1,31000,22009,24115,225,,,,,
2025-01-02 20:17:00,HD0000060,KH02418,CH02,SP020,Thực phẩm khô,1,57500,46185,44729,217,,,,,
2025-01-02 08:23:00,HD0000061,KH01612,CH01,SP054,Mẹ & bé,2,173500,135435,285176,340,,,,,
2025-01-02 20:26:00,HD0000062,KH00051,CH02,SP066,Chăm sóc cá nhân,2,44500,26705,108895,478,,,,,
2025-01-02 16:40:00,HD0000063,KH00374,CH02,SP001,Đồ uống,1,28500,22599,27365,171,,,,,
2025-01-02 16:40:00,HD0000063,KH00374,CH02,SP044,Đồ gia dụng,1,159000,121775,152666,328,,,,,
2025-01-02 18:46:00,HD0000064,KH02374,CH02,SP062,Chăm sóc cá nhân,1,67000,37895,53921,208,,,,,
2025-01-02 14:01:00,HD0000065,KH01051,CH01,SP060,Mẹ & bé,2,218000,139411,335858,402,,,,,
2025-01-02 14:01:00,HD0000065,KH01051,CH01,SP013,Bánh kẹo,1,14500,10565,11170,489,,,,,
2025-01-02 14:01:00,HD0000065,KH01051,CH01,SP052,Văn phòng phẩm,1,35000,25680,26961,304,,,,,
2025-01-02 19:31:00,HD0000066,KH00624,CH02,SP022,Thực phẩm khô,2,72000,53556,142701,273,,,,,
2025-01-02 19:31:00,HD0000066,KH00624,CH02,SP062,Chăm sóc cá nhân,4,67000,37895,265582,204,,,,,
2025-01-02 08:30:00,HD0000067,KH02374,CH02,SP066,Chăm sóc cá nhân,1,44500,26705,35813,477,,,,,
2025-01-02 20:16:00,HD0000068,KH01187,CH01,SP034,Hóa mỹ phẩm,4,145000,82401,562992,151,,,,,
2025-01-02 20:16:00,HD0000068,KH01187,CH01,SP044,Đồ gia dụng,1,159000,121775,154337,327,,,,,
2025-01-02 08:03:00,HD0000069,KH02124,CH01,SP007,Đồ uống,2,30000,23037,60018,348,,,,,
2025-01-02 08:03:00,HD0000069,KH02124,CH01,SP012,Bánh kẹo,1,22500,16415,22507,371,,,,,
2025-01-02 08:03:00,HD0000069,KH02124,CH01,SP034,Hóa mỹ phẩm,1,145000,82401,145045,150,,,,,
2025-01-02 10:20:00,HD0000070,KH00900,CH01,SP018,Bánh kẹo,1,10000,6820,10117,315,,,,,
2025-01-02 08:35:00,HD0000071,KH00374,CH02,SP056,Mẹ & bé,2,94000,61160,180511,254,,,,,
2025-01-02 20:14:00,HD0000072,KH00900,CH01,SP060,Mẹ & bé,1,218000,139411,220558,401,,,,,
2025-01-02 20:14:00,HD0000072,KH00900,CH01,SP001,Đồ uống,2,28500,22599,57669,169,,,,,
2025-01-02 20:14:00,HD0000072,KH00900,CH01,SP037,Hóa mỹ phẩm,1,37000,21071,37434,275,,,,,
2025-01-02 11:18:00,HD0000073,KHACH_LE,CH02,SP031,Hóa mỹ phẩm,2,44000,26872,88000,191,,,,,
2025-01-02 15:23:00,HD0000074,KH01187,CH01,SP025,Thực phẩm khô,1,79000,62562,76683,269,,,,,
2025-01-02 15:23:00,HD0000074,KH01187,CH01,SP031,Hóa mỹ phẩm,1,44000,26872,42710,190,,,,,
2025-01-02 15:23:00,HD0000074,KH01187,CH01,SP068,Chăm sóc cá nhân,1,175000,108474,169868,323,,,,,
2025-01-02 10:07:00,HD0000075,KH01608,CH01,SP032,Hóa mỹ phẩm,1,72500,50003,55635,435,,,,,
2025-01-02 15:14:00,HD0000076,KH01608,CH02,SP062,Chăm sóc cá nhân,3,67000,37895,154244,201,,,,,
2025-01-02 15:14:00,HD0000076,KH01608,CH02,SP064,Chăm sóc cá nhân,1,58000,30893,44508,429,,,,,
2025-01-02 20:44:00,HD0000077,KH00900,CH01,SP039,Đồ gia dụng,3,68500,43064,207911,213,,,,,
2025-01-02 20:44:00,HD0000077,KH00900,CH01,SP043,Đồ gia dụng,1,102500,79037,103703,432,,,,,
2025-01-02 11:57:00,HD0000078,KH01051,CH02,SP021,Thực phẩm khô,2,65000,49625,100141,350,,,,,
2025-01-02 16:11:00,HD0000079,KH01612,CH01,SP042,Đồ gia dụng,1,121000,95793,99442,242,,,,,
2025-01-02 16:11:00,HD0000079,KH01612,CH01,SP058,Mẹ & bé,1,123000,92733,101085,316,,,,,
2025-01-02 09:43:00,HD0000080,KH00051,CH02,SP052,Văn phòng phẩm,1,35000,25680,42824,303,,,,,
2025-01-02 10:37:00,HD0000081,KH00624,CH01,SP064,Chăm sóc cá nhân,1,58000,30893,57477,428,,,,,
2025-01-02 11:56:00,HD0000082,KH00051,CH01,SP001,Đồ uống,1,28500,22599,34871,168,,,,,
2025-01-02 11:56:00,HD0000082,KH00051,CH01,SP024,Thực phẩm khô,1,47500,37727,58118,383,,,,,
2025-01-02 08:30:00,HD0000083,KH01612,CH01,SP062,Chăm sóc cá nhân,1,67000,37895,55063,200,,,,,
2025-01-02 16:39:00,HD0000084,KH00374,CH01,SP049,Văn phòng phẩm,4,31000,22009,119060,221,,,,,
2025-01-02 08:44:00,HD0000085,KH00031,CH01,SP063,Chăm sóc cá nhân,3,76500,53635,211903,302,,,,,
2025-01-02 18:25:00,HD0000086,KH00624,CH01,SP065,Chăm sóc cá nhân,1,35000,19382,34684,282,,,,,
2025-01-02 14:24:00,HD0000087,KH00051,CH01,SP053,Văn phòng phẩm,1,20000,13022,24471,278,,,,,
2025-01-02 14:24:00,HD0000087,KH00051,CH01,SP062,Chăm sóc cá nhân,1,67000,37895,81977,199,,,,,
2025-01-02 08:59:00,HD0000088,KHACH_LE,CH02,SP018,Bánh kẹo,1,10000,6820,10000,314,,,,,
2025-01-02 08:59:00,HD0000088,KHACH_LE,CH02,SP015,Bánh kẹo,1,34500,25984,34500,441,,,,,
2025-01-02 16:24:00,HD0000089,KH00624,CH02,SP021,Thực phẩm khô,1,65000,49625,64413,349,,,,,
2025-01-02 17:10:00,HD0000090,KH00051,CH01,SP047,Văn phòng phẩm,1,48000,35404,58730,337,,,,,
2025-01-02 17:10:00,HD0000090,KH00051,CH01,SP039,Đồ gia dụng,1,68500,43064,83813,212,,,,,
2025-01-02 14:18:00,HD0000091,KH00051,CH01,SP001,Đồ uống,1,28500,22599,34871,167,,,,,
2025-01-02 18:21:00,HD0000092,KH02044,CH02,SP021,Thực phẩm khô,2,65000,49625,117022,347,,,,,
2025-01-02 18:21:00,HD0000092,KH02044,CH02,SP016,Bánh kẹo,3,38000,28191,102619,446,,,,,
2025-01-02 12:25:00,HD0000093,KH00051,CH01,SP052,Văn phòng phẩm,1,35000,25680,42824,302,,,,,
2025-01-02 12:09:00,HD0000094,KH01753,CH02,SP066,Chăm sóc cá nhân,1,44500,26705,43458,476,,,,,
2025-01-02 15:24:00,HD0000095,KH01168,CH01,SP052,Văn phòng phẩm,3,35000,25680,94413,299,,,,,
2025-01-02 15:24:00,HD0000095,KH01168,CH01,SP060,Mẹ & bé,1,218000,139411,196019,400,,,,,
2025-01-02 17:59:00,HD0000096,KH01071,CH01,SP053,Văn phòng phẩm,1,20000,13022,16748,277,,,,,
2025-01-02 17:59:00,HD0000096,KH01071,CH01,SP042,Đồ gia dụng,3,121000,95793,303969,239,,,,,
2025-01-03 18:47:00,HD0000097,KH00506,CH01,SP034,Hóa mỹ phẩm,1,145000,82401,162429,149,,,,,
2025-01-03 18:47:00,HD0000097,KH00506,CH01,SP008,Đồ uống,1,17500,12667,19604,470,,,,,
2025-01-03 19:45:00,HD0000098,KH00051,CH01,SP052,Văn phòng phẩm,2,35000,25680,85648,297,,,,,
2025-01-03 19:45:00,HD0000098,KH00051,CH01,SP001,Đồ uống,1,28500,22599,34871,166,,,,,
2025-01-03 19:45:00,HD0000098,KH00051,CH01,SP059,Mẹ & bé,1,52500,41576,64236,393,,,,,
2025-01-03 19:45:00,HD0000098,KH00051,CH01,SP039,Đồ gia dụng,3,68500,43064,251438,209,,,,,
2025-01-03 08:48:00,HD0000099,KH00345,CH01,SP053,Văn phòng phẩm,2,20000,13022,31743,275,,,,,
2025-01-03 08:48:00,HD0000099,KH00345,CH01,SP065,Chăm sóc cá nhân,1,35000,19382,27775,281,,,,,
2025-01-03 10:11:00,HD0000100,KH01753,CH01,SP049,Văn phòng phẩm,1,31000,22009,30274,220,,,,,
2025-01-03 15:12:00,HD0000101,KH00898,CH02,SP035,Hóa mỹ phẩm,1,58000,32258,57473,265,,,,,
2025-01-03 15:12:00,HD0000101,KH00898,CH02,SP054,Mẹ & bé,1,173500,135435,171924,339,,,,,
2025-01-03 09:11:00,HD0000102,KH00054,CH01,SP001,Đồ uống,2,28500,22599,63973,164,,,,,
2025-01-03 09:11:00,HD0000102,KH00054,CH01,SP031,Hóa mỹ phẩm,1,44000,26872,49383,189,,,,,
2025-01-03 09:11:00,HD0000102,KH00054,CH01,SP048,Văn phòng phẩm,5,31500,19194,176768,191,,,,,
2025-01-03 09:11:00,HD0000102,KH00054,CH01,SP014,Bánh kẹo,1,33000,24236,37037,159,,,,,
2025-01-03 14:41:00,HD0000103,KH01608,CH01,SP007,Đồ uống,5,30000,23037,115107,343,,,,,
2025-01-03 14:41:00,HD0000103,KH01608,CH01,SP009,Đồ uống,1,29000,23916,22254,424,,,,,
2025-01-03 14:41:00,HD0000103,KH01608,CH01,SP024,Thực phẩm khô,1,47500,37727,36451,382,,,,,
2025-01-03 08:23:00,HD0000104,KH01743,CH02,SP029,Hóa mỹ phẩm,1,27500,20130,28264,383,,,,,
2025-01-03 11:43:00,HD0000105,KH00506,CH01,SP026,Thực phẩm khô,1,36000,28252,40327,224,,,,,
2025-01-03 10:42:00,HD0000106,KH01608,CH01,SP002,Đồ uống,1,26500,22201,20336,240,,,,,
2025-01-03 11:27:00,HD0000107,KHACH_LE,CH01,SP027,Thực phẩm khô,1,56500,41015,56500,252,,,,,
2025-01-03 17:33:00,HD0000108,KH02374,CH01,SP050,Văn phòng phẩm,1,33500,22919,26960,226,,,,,
2025-01-03 18:35:00,HD0000109,KH00374,CH02,SP069,Chăm sóc cá nhân,1,17000,11459,16323,314,,,,,
2025-01-03 10:52:00,HD0000110,KH02044,CH02,SP045,Đồ gia dụng,1,157500,115074,141777,294,,,,,
2025-01-03 10:52:00,HD0000110,KH02044,CH02,SP055,Mẹ & bé,5,66000,52356,297056,483,,,,,
2025-01-03 17:57:00,HD0000111,KH01168,CH02,SP040,Đồ gia dụng,1,188000,134153,169044,157,,,,,
2025-01-03 08:19:00,HD0000112,KH00506,CH01,SP050,Văn phòng phẩm,4,33500,22919,150107,222,,,,,
2025-01-03 13:26:00,HD0000113,KH00031,CH02,SP034,Hóa mỹ phẩm,1,145000,82401,133882,148,,,,,
2025-01-03 13:26:00,HD0000113,KH00031,CH02,SP062,Chăm sóc cá nhân,1,67000,37895,61863,198,,,,,
2025-01-03 10:38:00,HD0000114,KHACH_LE,CH02,SP036,Hóa mỹ phẩm,1,114500,75585,114500,310,,,,,
2025-01-03 10:38:00,HD0000114,KHACH_LE,CH02,SP004,Đồ uống,4,20000,16036,80000,493,,,,,
2025-01-03 10:38:00,HD0000114,KHACH_LE,CH02,SP044,Đồ gia dụng,1,159000,121775,159000,326,,,,,
2025-01-03 20:31:00,HD0000115,KH02255,CH01,SP060,Mẹ & bé,2,218000,139411,421913,398,,,,,
2025-01-03 10:39:00,HD0000116,KH01608,CH01,SP039,Đồ gia dụng,4,68500,43064,210263,205,,,,,
2025-01-03 10:39:00,HD0000116,KH01608,CH01,SP043,Đồ gia dụng,1,102500,79037,78657,431,,,,,
2025-01-03 09:39:00,HD0000117,KH01753,CH02,SP038,Đồ gia dụng,1,74500,55041,72755,188,,,,,
2025-01-03 16:23:00,HD0000118,KH02044,CH01,SP002,Đồ uống,4,26500,22201,95418,236,,,,,
2025-01-03 16:23:00,HD0000118,KH02044,CH01,SP011,Bánh kẹo,2,36000,23575,64812,467,,,,,
2025-01-03 11:10:00,HD0000119,KH01187,CH02,SP027,Thực phẩm khô,3,56500,41015,164530,249,,,,,
2025-01-03 20:26:00,HD0000120,KH00374,CH01,SP062,Chăm sóc cá nhân,1,67000,37895,64331,197,,,,,
2025-01-03 08:31:00,HD0000121,KH00681,CH02,SP005,Đồ uống,1,25000,18576,23181,277,,,,,
2025-01-03 10:40:00,HD0000122,KH00374,CH01,SP066,Chăm sóc cá nhân,1,44500,26705,42727,475,,,,,
2025-01-03 09:26:00,HD0000123,KH00898,CH02,SP044,Đồ gia dụng,1,159000,121775,157556,325,,,,,
2025-01-03 09:26:00,HD0000123,KH00898,CH02,SP018,Bánh kẹo,1,10000,6820,9909,313,,,,,
2025-01-03 09:26:00,HD0000123,KH00898,CH02,SP054,Mẹ & bé,1,173500,135435,171924,338,,,,,
2025-01-03 16:45:00,HD0000124,KH00051,CH02,SP066,Chăm sóc cá nhân,1,44500,26705,54448,474,,,,,
2025-01-03 08:26:00,HD0000125,KH00898,CH01,SP002,Đồ uống,1,26500,22201,26259,235,,,,,
2025-01-03 08:26:00,HD0000125,KH00898,CH01,SP006,Đồ uống,1,14000,10891,13873,180,,,,,
2025-01-03 12:21:00,HD0000126,KH01612,CH02,SP044,Đồ gia dụng,1,159000,121775,130671,324,,,,,
2025-01-03 12:57:00,HD0000127,KHACH_LE,CH01,SP062,Chăm sóc cá nhân,3,67000,37895,201000,194,,,,,
2025-01-03 12:57:00,HD0000127,KHACH_LE,CH01,SP011,Bánh kẹo,1,36000,23575,36000,466,,,,,
2025-01-03 12:57:00,HD0000127,KHACH_LE,CH01,SP039,Đồ gia dụng,1,68500,43064,68500,204,,,,,
2025-01-03 12:35:00,HD0000128,KH01612,CH02,SP052,Văn phòng phẩm,1,35000,25680,28764,296,,,,,
2025-01-03 19:59:00,HD0000129,KH00051,CH01,SP045,Đồ gia dụng,1,157500,115074,192708,293,,,,,
2025-01-03 12:10:00,HD0000130,KHACH_LE,CH01,SP026,Thực phẩm khô,1,36000,28252,36000,223,,,,,
2025-01-03 14:53:00,HD0000131,KH01443,CH02,SP060,Mẹ & bé,1,218000,139411,175069,397,,,,,
2025-01-03 14:53:00,HD0000131,KH01443,CH02,SP052,Văn phòng phẩm,1,35000,25680,28107,295,,,,,
2025-01-03 18:03:00,HD0000132,KH00898,CH02,SP022,Thực phẩm khô,1,72000,53556,71346,272,,,,,
2025-01-03 12:31:00,HD0000133,KH01051,CH01,SP044,Đồ gia dụng,1,159000,121775,122480,323,,,,,
2025-01-03 12:31:00,HD0000133,KH01051,CH01,SP053,Văn phòng phẩm,2,20000,13022,30813,273,,,,,
2025-01-03 08:50:00,HD0000134,KH01261,CH02,SP054,Mẹ & bé,1,173500,135435,139850,337,,,,,
2025-01-03 08:50:00,HD0000134,KH01261,CH02,SP053,Văn phòng phẩm,1,20000,13022,16121,272,,,,,
2025-01-03 17:53:00,HD0000135,KH01694,CH01,SP022,Thực phẩm khô,1,72000,53556,59600,271,,,,,
2025-01-03 18:21:00,HD0000136,KH00506,CH02,SP025,Thực phẩm khô,1,79000,62562,88496,268,,,,,
2025-01-03 08:48:00,HD0000137,KH01738,CH01,SP032,Hóa mỹ phẩm,4,72500,50003,252995,431,,,,,
2025-01-03 08:14:00,HD0000138,KHACH_LE,CH02,SP027,Thực phẩm khô,1,56500,41015,56500,248,,,,,
2025-01-03 08:14:00,HD0000138,KHACH_LE,CH02,SP026,Thực phẩm khô,3,36000,28252,108000,220,,,,,
